Date,Time,Commands,Supply V,Supply I,Restart,Clamp  pos,Clamp  speed,Clamp  I,Clamp  status,Clamp  error,Cutter Counts,Cutter speed,Cutter I,Cutter status,Cutter error,Tip Diameter,Radial speed,Radial I,Radial status,Radial error,Head Rotation,Rotate speed,Rotate I,Rotate status,Rotate error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,Clamp SPI errors,Cutter SPI errors,Radial SPI errors,Rotate SPI errors,Debug
01/11/2012,10:30:37,,,195,,,,,0,,11520,7000,127,18,,,,,0,,,,,0,,,22,70,546,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:37,,571,195,,,,,0,,11584,6600,136,18,,,,,0,,,,,0,,,,69,546,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:38,,582,194,,,,,0,,11648,6600,127,18,,,,,0,,,,,0,,,,68,557,30,,,,14,,,Gap to pipe test ID = 158
01/11/2012,10:30:39,,574,195,,,,,0,,11776,6800,127,18,,,,,0,,,,,0,,,,69,546,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:39,,571,194,,,,,0,,11840,6800,136,18,,,,,0,,,,,0,,25,,70,542,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:39,M3 speed 8000,580,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:40,,,193,,,,,0,,11904,6600,127,18,,,,,0,,,,,0,,,,70,542,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:40,,582,195,,,,,0,,11968,6600,136,18,,,,,0,,,,,0,,,22,69,561,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:41,,573,196,,,,,0,,12096,6600,136,18,,133.74,50,0,16,,,,,0,,,,68,550,30,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:42,,573,197,,,,,0,,12160,6800,127,18,,133.74,50,15,16,,,,,0,,,,68,542,27,,,,,1,,Gap to pipe test ID = 158
01/11/2012,10:30:42,,573,199,,,,,0,,12224,6800,109,18,,133.74,50,54,16,,,,,0,,,,69,526,25,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:43,,567,203,,,,,0,,12352,6600,109,18,,133.74,50,108,16,,,,,0,,27,,69,522,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:43,,580,206,,,,,0,,12416,6600,109,18,,133.74,50,171,16,,,,,0,,,,70,518,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:44,,582,213,,,,,0,,12480,6600,109,18,,133.74,50,255,16,,,,,0,,,21,67,510,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:45,,580,218,,,,,0,,12544,6600,109,18,,133.74,50,393,16,,,,,0,,,,70,522,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:45,,580,219,,,,,0,,12608,6400,109,18,,133.74,50,423,16,,,,,0,,,,70,522,23,,,,,,1,Gap to pipe test ID = 158
01/11/2012,10:30:46,,588,221,,,,,0,,12736,6800,109,18,,133.74,50,423,16,,,,,0,,,,69,518,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:46,,573,222,,,,,0,,12800,6800,109,18,,133.74,50,423,16,,,,,0,,28,,70,514,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:47,,,223,,,,,0,,12864,6600,109,18,,133.74,350,405,16,,,,,0,,,,70,518,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:48,,580,223,,,,,0,,12992,6600,100,18,,133.74,700,405,16,,,,,0,,,22,69,514,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:48,,579,224,,,,,0,,13056,6600,109,18,,133.74,1000,402,16,,,,,0,,,,69,514,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:49,,573,223,,,,,0,,13120,6800,100,18,,133.96,1350,390,16,,,,,0,,,,70,518,24,,,2,,,,Gap to pipe test ID = 158
01/11/2012,10:30:49,,580,224,,,,,0,,13184,6400,109,18,,133.96,1700,396,16,,,,,0,,,,69,518,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:50,,580,224,,,,,0,,13248,6800,100,18,,133.96,2000,387,16,,,,,0,,28,,69,518,23,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:51,,586,220,,,,,0,,13376,6800,100,18,,134.18,2000,294,16,,,,,0,,,,69,514,24,,,,,,,Gap to pipe test ID = 158
01/11/2012,10:30:51,,575,215,,,,,0,,13440,7000,100,18,,134.18,2000,246,16,,,,,0,,,21,70,518,24,,,,,,,Gap to pipe test ID = 158
